
BUSES AND NODES IN ACTIVE CIRCUIT: 5002086

                                                         Coord                                 Number of     Nodes
  Bus                               Base kV             (x, y)                      Keep?       Nodes        connected ...
"82036315002086"                  13.800          ( -49.320053537, -16.614105553)     No           3          1    2    3 
"82035305002086"                  13.800          ( -49.31990626 , -16.613797102)     No           3          1    2    3 
"82035315002086"                  13.800          ( -49.319768118, -16.613515837)     No           3          1    2    3 
"82035325002086"                  13.800          ( -49.319611461, -16.6131459  )     No           3          1    2    3 
"82035355002086"                  13.800          ( -49.319329861, -16.613259304)     No           3          1    2    3 
"94329995002086"                  13.800          ( -49.31938132 , -16.613240556)     No           3          1    2    3 
"82035335002086"                  13.800          ( -49.319786746, -16.61306163 )     No           3          1    2    3 
"82035475002086"                  13.800          ( -49.320028213, -16.61295876 )     No           3          1    2    3 
"82035485002086"                  13.800          ( -49.320390445, -16.612798287)     No           3          1    2    3 
"94660975002086"                  13.800          ( -49.329492858, -16.633295719)     No           3          1    2    3 
"82034705002086"                  13.800          ( -49.329292778, -16.632903992)     No           3          1    2    3 
"82034685002086"                  13.800          ( -49.329292778, -16.632903992)     No           3          1    2    3 
"82031065002086"                  13.800          ( -49.324428325, -16.616508542)     No           3          1    2    3 
"82031075002086"                  13.800          ( -49.324308605, -16.616263576)     No           3          1    2    3 
"82031085002086"                  13.800          ( -49.324216453, -16.616082092)     No           3          1    2    3 
"82031415002086"                  13.800          ( -49.323812832, -16.616160163)     No           3          1    2    3 
"82031405002086"                  13.800          ( -49.323480783, -16.61630854 )     No           3          1    2    3 
"82031425002086"                  13.800          ( -49.324095163, -16.616017854)     No           3          1    2    3 
"82031445002086"                  13.800          ( -49.324492674, -16.616653563)     No           3          1    2    3 
"82031495002086"                  13.800          ( -49.324170455, -16.615982314)     No           3          1    2    3 
"82031435002086"                  13.800          ( -49.324170502, -16.615982296)     No           3          1    2    3 
"82035265002086"                  13.800          ( -49.322087203, -16.614122017)     No           3          1    2    3 
"82031095002086"                  13.800          ( -49.324078743, -16.615755639)     No           3          1    2    3 
"82032945002086"                  13.800          ( -49.327388102, -16.621646712)     No           3          1    2    3 
"82032975002086"                  13.800          ( -49.327625811, -16.621892881)     No           3          1    2    3 
"82032985002086"                  13.800          ( -49.327758463, -16.622165321)     No           3          1    2    3 
"82033025002086"                  13.800          ( -49.327493074, -16.621570289)     No           3          1    2    3 
"82033015002086"                  13.800          ( -49.327712759, -16.621413246)     No           3          1    2    3 
"82033765002086"                  13.800          ( -49.321751516, -16.610449431)     No           3          1    2    3 
"82036025002086"                  13.800          ( -49.321837077, -16.610665807)     No           3          1    2    3 
"82036045002086"                  13.800          ( -49.321963049, -16.610972147)     No           3          1    2    3 
"82036215002086"                  13.800          ( -49.322343892, -16.614009036)     No           3          1    2    3 
"82032955002086"                  13.800          ( -49.32747838 , -16.621516113)     No           3          1    2    3 
"82033075002086"                  13.800          ( -49.32862902 , -16.620224548)     No           3          1    2    3 
"95404035002086"                  13.800          ( -49.328417494, -16.619750699)     No           3          1    2    3 
"82033335002086"                  13.800          ( -49.328191207, -16.619232306)     No           3          1    2    3 
"82033325002086"                  13.800          ( -49.328099835, -16.619022476)     No           3          1    2    3 
"82033195002086"                  13.800          ( -49.328303229, -16.619482847)     No           3          1    2    3 
"82033345002086"                  13.800          ( -49.328009551, -16.618812644)     No           3          1    2    3 
"82033355002086"                  13.800          ( -49.327929058, -16.618628911)     No           3          1    2    3 
"82033395002086"                  13.800          ( -49.327849646, -16.618446225)     No           3          1    2    3 
"82033405002086"                  13.800          ( -49.327750666, -16.618220738)     No           3          1    2    3 
